Hisse     Fiyat     Adet      Alis/Satis
HEKTS     25,86     106       Satis
BYDNR     43,64     7         Satis
OFSYM     82,2      9         Satis
THYAO     242,1     12        Satis
FMIZP     234,5     15        Satis
ADGYO     33,12     26        Satis
ATAKP     69,6      5         Satis
EBEBK     69,55     3         Satis
ASGYO     22,24     26        Satis
FZLGY     18,73     11        Satis
HATSN     53,15     8         Satis
REEDR     24,04     46        Satis
KLSER     95,95     28        Satis
ENERY     165,4     10        Satis
GIPTA     41,54     3         Satis
IZENR     50,9      36        Satis
TATEN     57,4      22        Satis
KZGYO     33,48     12        Satis
DMRGD     18,1      13        Satis
DOFER     17,11     5         Alis
MEKAG     25        5         Alis
MHRGY     4,3       62        Alis
